Name,Company,Category,Updated,Size,Installs,Current Version,Requires Android,Content Rating,Interactive Elements,In-app Products,Permissions,Report,Offered By,Developer,Eligible for Family Library
Bleach: Brave Souls Anime Game,KLab,Action,"April 26, 2022",128.0,"10,000,000+",13.10.0,4.4 and up,"TeenMild Violence, Suggestive Themes, LanguageLearn more","Users Interact, In-Game Purchases",$0.99 - $79.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,KLab,
Super Cloner 3D,Kamil Bilge,Action,"May 12, 2022",183.0,"500,000+",1.4.6,7.0 and up,"TeenViolence, BloodLearn more",,,View details,ReportFlag as inappropriate,Flag as inappropriate,Kamil Bilge,
Count Masters - Stickman Clash,Freeplay Inc,Action,"April 21, 2022",98.0,"100,000,000+",1.37.2,5.0 and up,"Everyone 10+Fantasy Violence, Mild BloodLearn more",,,View details,ReportFlag as inappropriate,Flag as inappropriate,Freeplay Inc,
Gem Stack,ByteTyper,Action,"May 20, 2022",141.0,"10,000,000+",1.6.6,5.1 and up,EveryoneLearn more,,$2.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,ByteTyper,
Fruit Ninja 2 Fun Action Games,Halfbrick Studios,Action,"May 13, 2022",Varies with device,"10,000,000+",2.18.0,5.0 and up,EveryoneLearn more,Digital Purchases,$0.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Halfbrick Studios,
Draw Saber,KAYAC Inc.,Action,"April 21, 2022",97.0,"5,000,000+",0.1.8,5.1 and up,TeenViolenceLearn more,,,View details,ReportFlag as inappropriate,Flag as inappropriate,KAYAC Inc.,
slither.io,Lowtech Studios,Action,"December 20, 2019",Varies with device,"500,000,000+",Varies with device,2.3 and up,EveryoneLearn more,Digital Purchases,$3.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Lowtech Studios,
Marvel Contest of Champions,"Kabam Games, Inc.",Action,"May 11, 2022",1500.0,"100,000,000+",35.0.1,6.0 and up,"TeenViolence, Suggestive ThemesLearn more","Users Interact, Digital Purchases",$0.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,"Kabam Games, Inc.",
Blue Monster Escape: Chapter 2,Fgame Global,Action,"May 20, 2022",118.0,"100,000+",1.1,4.4 and up,EveryoneLearn more,,$2.99 - $5.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Fgame Global,
Kick The Buddy Remastered,Playgendary Limited,Action,"May 18, 2022",126.0,"10,000,000+",1.6.1,5.0 and up,"TeenViolence, Blood, Crude HumorLearn more",In-Game Purchases,$0.99 - $84.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Playgendary Limited,
Call of Duty Mobile Season 4,"Activision Publishing, Inc.",Action,"March 25, 2022",Varies with device,"100,000,000+",1.0.32,4.3 and up,"Mature 17+Blood, Strong Language, ViolenceLearn more","Users Interact, In-Game Purchases",$0.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,"Activision Publishing, Inc.",
Baby Craft: Let's Hide & Seek,Rocket Game Studio,Action,"May 19, 2022",65.0,"1,000,000+",1.0.3,4.4 and up,"TeenViolence, BloodLearn more",,$0.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Rocket Game Studio,
Bowmasters,Playgendary Limited,Action,"April 23, 2022",149.0,"10,000,000+",2.15.17,5.0 and up,"Mature 17+Violence, Blood and GoreLearn more",In-Game Purchases,$0.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Playgendary Limited,
Garena Free Fire: Heroes Arise,Garena International I,Action,"April 1, 2022",Varies with device,"1,000,000,000+",1.81.0,4.1 and up,"Mature 17+Violence, BloodLearn more","Users Interact, In-Game Purchases",$0.49 - $109.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Garena International I,
Monsters Gang 3D: Heroes World,MOONEE PUBLISHING LTD,Action,"March 9, 2022",153.0,"10,000,000+",3.67.5,5.0 and up,"TeenViolence, BloodLearn more",,$0.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,MOONEE PUBLISHING LTD,
Wall Kickers,Kumobius,Action,"October 31, 2018",27.0,"1,000,000+",2.0,4.0 and up,EveryoneLearn more,Digital Purchases,$0.99 - $5.49 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Kumobius,
